interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
99,447.641667,448.485417,m.112 beat 4.642,m.113 beat 1.485,448.000000,448.485417,
100,448.845833,449.764583,m.113 beat 1.846,m.113 beat 2.765,448.845833,449.764583,0.360417
101,450.129167,452.162500,m.113 beat 3.129,m.114 beat 1.162,450.129167,452.162500,0.364583
102,452.483333,453.485417,m.114 beat 1.483,m.114 beat 2.485,452.483333,453.485417,0.320833
103,453.814583,454.604167,m.114 beat 2.815,m.114 beat 3.604,453.814583,454.604167,0.329167
104,454.922917,455.768750,m.114 beat 3.923,m.114 beat 4.769,454.922917,455.768750,0.318750
105,456.045833,456.922917,m.115 beat 1.046,m.115 beat 1.923,456.045833,456.922917,0.277083
106,457.247917,458.120833,m.115 beat 2.248,m.115 beat 3.121,457.247917,458.120833,0.325000
107,458.437500,459.318750,m.115 beat 3.438,m.115 beat 4.319,458.437500,459.318750,0.316667
108,459.635417,460.552083,m.115 beat 4.635,m.116 beat 1.552,459.635417,460.552083,0.316667
109,460.912500,461.675000,m.116 beat 1.912,m.116 beat 2.675,460.912500,461.675000,0.360417
110,462.072917,462.793750,m.116 beat 3.073,m.116 beat 3.794,462.072917,462.793750,0.397917
111,463.160417,464.195833,m.116 beat 4.160,m.117 beat 1.196,463.160417,464.000000,0.366667
