split,piece_key,composer,title,midi_performance,status,alignment_csv,rejected_csv,candidates_csv,alignment_rows,alignment_rejected,candidate_rows,candidate_events,labeled_events,unmatched_events,duration_not_candidate_events,ambiguous_candidate_events,error
test,BachFugue_bwv_846,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846/Shi05M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_846__Shi05M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_846__Shi05M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_846__Shi05M.csv,728,26,2691,754,109,26,597,22,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/Denisova06M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__Denisova06M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__Denisova06M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__Denisova06M.csv,1397,38,3050,1435,594,38,133,670,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/Lee01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__Lee01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__Lee01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__Lee01M.csv,1392,46,3572,1438,497,46,151,744,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/LeeSH01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__LeeSH01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__LeeSH01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__LeeSH01M.csv,1386,43,4231,1429,252,43,266,868,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/Lin04M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__Lin04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__Lin04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__Lin04M.csv,1388,43,3140,1431,568,43,160,660,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/Lou01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__Lou01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__Lou01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__Lou01M.csv,1399,34,3483,1433,513,34,192,694,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/MiyashitaM01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__MiyashitaM01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__MiyashitaM01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__MiyashitaM01M.csv,1399,39,3639,1438,360,39,191,848,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/Mizumoto03M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__Mizumoto03M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__Mizumoto03M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__Mizumoto03M.csv,1389,51,3529,1440,435,51,193,761,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/SunY01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__SunY01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__SunY01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__SunY01M.csv,1396,35,3524,1431,510,35,141,745,
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,Bach/Fugue/bwv_848/Zhou01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_848__Zhou01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_848__Zhou01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_848__Zhou01M.csv,1399,31,3559,1430,380,31,205,814,
