pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,candidate_event_id,review_priority,label,label_source,auto_label_status,alignment_method,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,review_class,review_note
60,36,1,1.0,0.25,1.666666667,1.666666667,0.0,2.375,1.666666667,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:60:1.000000:1,high,,,unmatched,external,,,,,,,,
60,36,1,1.0,0.25,1.666666667,1.666666667,0.0,2.375,1.625,0.041666667,0.041666667,0,0,0,0.881838446,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:60:1.000000:1,high,,,unmatched,external,,,,,,,,
60,36,1,1.0,0.25,1.666666667,1.666666667,0.0,2.375,1.75,0.083333333,0.083333333,0,0,0,0.818746562,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:60:1.000000:1,high,,,unmatched,external,,,,,,,,
60,36,1,1.0,0.25,1.666666667,1.666666667,0.0,2.375,2.375,0.708333333,0.708333333,0,0,1,0.296618485,next-voice-onset,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:60:1.000000:1,high,,,unmatched,external,,,,,,,,
62,51,2,2.25,0.5625,1.5,1.5,0.0,2.5,1.5,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:62:2.250000:2,normal,,,reference-duration-not-candidate,external,P1,2,1.0,0.5,0,0,,
62,51,2,2.25,0.5625,1.5,1.5,0.0,2.5,1.333333333,0.166666667,0.166666667,0,0,0,0.706254605,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:62:2.250000:2,normal,,,reference-duration-not-candidate,external,P1,2,1.0,0.5,0,0,,
62,51,2,2.25,0.5625,1.5,1.5,0.0,2.5,1.75,0.25,0.25,0,1,0,0.649776017,barline,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:62:2.250000:2,normal,,,reference-duration-not-candidate,external,P1,2,1.0,0.5,0,0,,
62,51,2,2.25,0.5625,1.5,1.5,0.0,2.5,2.5,1.0,1.0,1,0,1,0.178966576,next-voice-onset,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:62:2.250000:2,normal,,,reference-duration-not-candidate,external,P1,2,1.0,0.5,0,0,,
64,54,1,3.375,0.84375,1.5,1.5,0.0,3.625,1.5,0.0,0.0,1,0,0,0.894676307,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:64:3.375000:1,normal,0,reference-score,labeled,external,P1,2,1.5,0.5,0,0,,
64,54,1,3.375,0.84375,1.5,1.5,0.0,3.625,1.333333333,0.166666667,0.166666667,1,0,0,0.665125539,key-release-grid+pedal-acoustic-grid,asap_bach_bwv846_shi05m,RH,asap_bach_bwv846_shi05m:RH:64:3.375000:1,normal,0,reference-score,labeled,external,P1,2,1.5,0.5,0,0,,
