split,piece_key,composer,title,performance_rank_in_piece,performances_in_piece,midi_performance,midi_score,xml_score
test,BachFugue_bwv_846,Bach,Fugue_bwv_846,1,1,Bach/Fugue/bwv_846/Shi05M.mid,Bach/Fugue/bwv_846/midi_score.mid,Bach/Fugue/bwv_846/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,1,9,Bach/Fugue/bwv_848/Denisova06M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,2,9,Bach/Fugue/bwv_848/Lee01M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,3,9,Bach/Fugue/bwv_848/LeeSH01M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,4,9,Bach/Fugue/bwv_848/Lin04M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,5,9,Bach/Fugue/bwv_848/Lou01M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,6,9,Bach/Fugue/bwv_848/MiyashitaM01M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,7,9,Bach/Fugue/bwv_848/Mizumoto03M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,8,9,Bach/Fugue/bwv_848/SunY01M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
train,BachFugue_bwv_848,Bach,Fugue_bwv_848,9,9,Bach/Fugue/bwv_848/Zhou01M.mid,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/xml_score.musicxml
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,1,5,Bach/Fugue/bwv_854/LuA01M.mid,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/xml_score.musicxml
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,2,5,Bach/Fugue/bwv_854/MiyashitaM01M.mid,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/xml_score.musicxml
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,3,5,Bach/Fugue/bwv_854/Ozaki01M.mid,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/xml_score.musicxml
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,4,5,Bach/Fugue/bwv_854/Richardson01M.mid,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/xml_score.musicxml
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,5,5,Bach/Fugue/bwv_854/WangA01M.mid,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/xml_score.musicxml
train,BachFugue_bwv_856,Bach,Fugue_bwv_856,1,1,Bach/Fugue/bwv_856/LuoJ01M.mid,Bach/Fugue/bwv_856/midi_score.mid,Bach/Fugue/bwv_856/xml_score.musicxml
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,1,6,Bach/Fugue/bwv_857/Bult-ItoS02M.mid,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/xml_score.musicxml
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,2,6,Bach/Fugue/bwv_857/Lan01M.mid,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/xml_score.musicxml
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,3,6,Bach/Fugue/bwv_857/Lisiecki04M.mid,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/xml_score.musicxml
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,4,6,Bach/Fugue/bwv_857/ToA01M.mid,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/xml_score.musicxml
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,5,6,Bach/Fugue/bwv_857/WangA01M.mid,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/xml_score.musicxml
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,6,6,Bach/Fugue/bwv_857/YuP01M.mid,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/xml_score.musicxml
train,BachFugue_bwv_858,Bach,Fugue_bwv_858,1,2,Bach/Fugue/bwv_858/VuV01M.mid,Bach/Fugue/bwv_858/midi_score.mid,Bach/Fugue/bwv_858/xml_score.musicxml
train,BachFugue_bwv_858,Bach,Fugue_bwv_858,2,2,Bach/Fugue/bwv_858/Zhang01M.mid,Bach/Fugue/bwv_858/midi_score.mid,Bach/Fugue/bwv_858/xml_score.musicxml
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,1,6,Bach/Fugue/bwv_860/Ko04M.mid,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/xml_score.musicxml
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,2,6,Bach/Fugue/bwv_860/Nikiforov05M.mid,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/xml_score.musicxml
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,3,6,Bach/Fugue/bwv_860/Tetzloff04M.mid,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/xml_score.musicxml
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,4,6,Bach/Fugue/bwv_860/TuanS01M.mid,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/xml_score.musicxml
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,5,6,Bach/Fugue/bwv_860/YoungS01M.mid,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/xml_score.musicxml
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,6,6,Bach/Fugue/bwv_860/ZhangH04M.mid,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/xml_score.musicxml
train,BachFugue_bwv_862,Bach,Fugue_bwv_862,1,1,Bach/Fugue/bwv_862/Song04M.mid,Bach/Fugue/bwv_862/midi_score.mid,Bach/Fugue/bwv_862/xml_score.musicxml
train,BachFugue_bwv_863,Bach,Fugue_bwv_863,1,3,Bach/Fugue/bwv_863/LeeN01M.mid,Bach/Fugue/bwv_863/midi_score.mid,Bach/Fugue/bwv_863/xml_score.musicxml
train,BachFugue_bwv_863,Bach,Fugue_bwv_863,2,3,Bach/Fugue/bwv_863/Shychko01M.mid,Bach/Fugue/bwv_863/midi_score.mid,Bach/Fugue/bwv_863/xml_score.musicxml
train,BachFugue_bwv_863,Bach,Fugue_bwv_863,3,3,Bach/Fugue/bwv_863/TongB01M.mid,Bach/Fugue/bwv_863/midi_score.mid,Bach/Fugue/bwv_863/xml_score.musicxml
test,BachFugue_bwv_864,Bach,Fugue_bwv_864,1,1,Bach/Fugue/bwv_864/SunD01M.mid,Bach/Fugue/bwv_864/midi_score.mid,Bach/Fugue/bwv_864/xml_score.musicxml
test,BachFugue_bwv_865,Bach,Fugue_bwv_865,1,3,Bach/Fugue/bwv_865/Rizikov01M.mid,Bach/Fugue/bwv_865/midi_score.mid,Bach/Fugue/bwv_865/xml_score.musicxml
test,BachFugue_bwv_865,Bach,Fugue_bwv_865,2,3,Bach/Fugue/bwv_865/Teo01M.mid,Bach/Fugue/bwv_865/midi_score.mid,Bach/Fugue/bwv_865/xml_score.musicxml
test,BachFugue_bwv_865,Bach,Fugue_bwv_865,3,3,Bach/Fugue/bwv_865/ZhangE01M.mid,Bach/Fugue/bwv_865/midi_score.mid,Bach/Fugue/bwv_865/xml_score.musicxml
