piece_key,midi_performance,pipeline,pitch_tp,pitch_predicted,pitch_reference,pitch_precision,pitch_recall,pitch_f1,onset_tp,onset_predicted,onset_reference,onset_precision,onset_recall,onset_f1,note_tp,note_predicted,note_reference,note_precision,note_recall,note_f1,duration_matched_events,duration_correct_events,duration_accuracy,duration_mae_ql,tie_available,tie_matched_events,tie_correct_events,tie_accuracy,voice_available,voice_matched_events,voice_correct_events,voice_accuracy,pedal_available,pedal_tp,pedal_predicted,pedal_reference,pedal_f1,coverage_reference_events_total,coverage_reference_events_reliably_aligned,coverage_system_events_total,coverage_system_events_outside_alignment_span
BachFugue_bwv_846,Bach/Fugue/bwv_846/Shi05M.mid,P4-R,721,752,721,0.9587765957446809,1.0,0.9789545145960624,721,752,721,0.9587765957446809,1.0,0.9789545145960624,121,752,721,0.16090425531914893,0.1678224687933426,0.16429056347589954,721,121,0.1678224687933426,0.846104946854369,True,48,37,0.7708333333333334,True,121,38,0.3140495867768595,False,0,0,0,,752,721,754,2
BachFugue_bwv_846,Bach/Fugue/bwv_846/Shi05M.mid,P4-R-NP,721,752,721,0.9587765957446809,1.0,0.9789545145960624,721,752,721,0.9587765957446809,1.0,0.9789545145960624,121,752,721,0.16090425531914893,0.1678224687933426,0.16429056347589954,721,121,0.1678224687933426,0.846104946854369,True,48,37,0.7708333333333334,True,121,38,0.3140495867768595,False,0,0,0,,752,721,754,2
BachFugue_bwv_846,Bach/Fugue/bwv_846/Shi05M.mid,P4-L,721,752,721,0.9587765957446809,1.0,0.9789545145960624,721,752,721,0.9587765957446809,1.0,0.9789545145960624,193,752,721,0.2566489361702128,0.26768377253814146,0.2620502376103191,721,192,0.26629680998613037,0.6597318539112343,True,48,17,0.3541666666666667,True,193,56,0.29015544041450775,False,0,0,0,,752,721,754,2
BachFugue_bwv_846,Bach/Fugue/bwv_846/Shi05M.mid,P4-L-NP,721,752,721,0.9587765957446809,1.0,0.9789545145960624,721,752,721,0.9587765957446809,1.0,0.9789545145960624,192,752,721,0.2553191489361702,0.26629680998613037,0.2606924643584521,721,191,0.26490984743411927,0.6573046694466019,True,48,16,0.3333333333333333,True,192,56,0.2916666666666667,False,0,0,0,,752,721,754,2
BachFugue_bwv_864,Bach/Fugue/bwv_864/SunD01M.mid,P4-R,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,1058,1188,1170,0.8905723905723906,0.9042735042735043,0.897370653095844,1170,1058,0.9042735042735043,0.12485754985128206,True,102,70,0.6862745098039216,True,1058,584,0.5519848771266541,False,0,0,0,,1198,1170,1188,0
BachFugue_bwv_864,Bach/Fugue/bwv_864/SunD01M.mid,P4-R-NP,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,1058,1188,1170,0.8905723905723906,0.9042735042735043,0.897370653095844,1170,1058,0.9042735042735043,0.12485754985128206,True,102,70,0.6862745098039216,True,1058,584,0.5519848771266541,False,0,0,0,,1198,1170,1188,0
BachFugue_bwv_864,Bach/Fugue/bwv_864/SunD01M.mid,P4-L,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,925,1188,1170,0.7786195286195287,0.7905982905982906,0.7845631891433418,1170,925,0.7905982905982906,0.1983974359,True,102,59,0.5784313725490197,True,925,514,0.5556756756756757,False,0,0,0,,1198,1170,1188,0
BachFugue_bwv_864,Bach/Fugue/bwv_864/SunD01M.mid,P4-L-NP,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,1170,1188,1170,0.9848484848484849,1.0,0.9923664122137404,925,1188,1170,0.7786195286195287,0.7905982905982906,0.7845631891433418,1170,925,0.7905982905982906,0.1983974359,True,102,59,0.5784313725490197,True,925,514,0.5556756756756757,False,0,0,0,,1198,1170,1188,0
BachFugue_bwv_865,Bach/Fugue/bwv_865/Rizikov01M.mid,P4-R,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,1933,2396,2328,0.8067612687813022,0.8303264604810997,0.8183742591024555,2328,1933,0.8303264604810997,0.2562822164866838,True,92,61,0.6630434782608695,True,1933,623,0.322296947749612,False,0,0,0,,2439,2328,2398,2
BachFugue_bwv_865,Bach/Fugue/bwv_865/Rizikov01M.mid,P4-R-NP,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,1933,2396,2328,0.8067612687813022,0.8303264604810997,0.8183742591024555,2328,1933,0.8303264604810997,0.2563001145395189,True,92,61,0.6630434782608695,True,1933,623,0.322296947749612,False,0,0,0,,2439,2328,2398,2
BachFugue_bwv_865,Bach/Fugue/bwv_865/Rizikov01M.mid,P4-L,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,1716,2396,2328,0.7161936560934892,0.7371134020618557,0.7265029635901779,2328,1716,0.7371134020618557,0.277670389463488,True,92,40,0.43478260869565216,True,1716,553,0.32226107226107226,False,0,0,0,,2439,2328,2398,2
BachFugue_bwv_865,Bach/Fugue/bwv_865/Rizikov01M.mid,P4-L-NP,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,2328,2396,2328,0.9716193656093489,1.0,0.985605419136325,1719,2396,2328,0.7174457429048414,0.7384020618556701,0.7277730736663844,2328,1719,0.7384020618556701,0.27731242841022335,True,92,41,0.44565217391304346,True,1719,553,0.3216986620127981,False,0,0,0,,2439,2328,2398,2
BachFugue_bwv_865,Bach/Fugue/bwv_865/Teo01M.mid,P4-R,2320,2449,2320,0.9473254389546754,1.0,0.9729503040469699,2319,2449,2320,0.9469171090240914,0.9995689655172414,0.9725309289159153,1559,2449,2320,0.6365863617803185,0.6719827586206897,0.6538058293143216,2319,1557,0.6714100905562742,0.2324816731013368,True,92,68,0.7391304347826086,True,1559,535,0.3431686978832585,False,0,0,0,,2439,2320,2456,7
BachFugue_bwv_865,Bach/Fugue/bwv_865/Teo01M.mid,P4-R-NP,2320,2449,2320,0.9473254389546754,1.0,0.9729503040469699,2319,2449,2320,0.9469171090240914,0.9995689655172414,0.9725309289159153,1559,2449,2320,0.6365863617803185,0.6719827586206897,0.6538058293143216,2319,1557,0.6714100905562742,0.2324816731013368,True,92,68,0.7391304347826086,True,1559,535,0.3431686978832585,False,0,0,0,,2439,2320,2456,7
BachFugue_bwv_865,Bach/Fugue/bwv_865/Teo01M.mid,P4-L,2320,2449,2320,0.9473254389546754,1.0,0.9729503040469699,2319,2449,2320,0.9469171090240914,0.9995689655172414,0.9725309289159153,1585,2449,2320,0.6472029399755002,0.6831896551724138,0.6647095827217446,2319,1584,0.6830530401034929,0.2484368262138853,True,92,28,0.30434782608695654,True,1585,539,0.34006309148264985,False,0,0,0,,2439,2320,2456,7
BachFugue_bwv_865,Bach/Fugue/bwv_865/Teo01M.mid,P4-L-NP,2320,2449,2320,0.9473254389546754,1.0,0.9729503040469699,2319,2449,2320,0.9469171090240914,0.9995689655172414,0.9725309289159153,1586,2449,2320,0.6476112699060841,0.6836206896551724,0.6651289578527994,2319,1585,0.6834842604570935,0.24805950840448468,True,92,28,0.30434782608695654,True,1586,539,0.33984867591424966,False,0,0,0,,2439,2320,2456,7
BachFugue_bwv_865,Bach/Fugue/bwv_865/ZhangE01M.mid,P4-R,2294,2398,2294,0.9566305254378649,1.0,0.9778346121057119,2293,2398,2294,0.9562135112593828,0.9995640802092415,0.9774083546462063,1586,2398,2294,0.6613844870725605,0.6913687881429816,0.6760443307757885,2293,1585,0.691234191016136,0.24142317197383342,True,89,63,0.7078651685393258,True,1586,586,0.3694829760403531,False,0,0,0,,2439,2294,2402,4
BachFugue_bwv_865,Bach/Fugue/bwv_865/ZhangE01M.mid,P4-R-NP,2294,2398,2294,0.9566305254378649,1.0,0.9778346121057119,2293,2398,2294,0.9562135112593828,0.9995640802092415,0.9774083546462063,1586,2398,2294,0.6613844870725605,0.6913687881429816,0.6760443307757885,2293,1585,0.691234191016136,0.24142317197383342,True,89,63,0.7078651685393258,True,1586,586,0.3694829760403531,False,0,0,0,,2439,2294,2402,4
BachFugue_bwv_865,Bach/Fugue/bwv_865/ZhangE01M.mid,P4-L,2294,2398,2294,0.9566305254378649,1.0,0.9778346121057119,2293,2398,2294,0.9562135112593828,0.9995640802092415,0.9774083546462063,1686,2398,2294,0.7030859049207673,0.7349607672188317,0.7186700767263428,2293,1686,0.7352812908853031,0.2323375490619276,True,89,42,0.47191011235955055,True,1686,594,0.35231316725978645,False,0,0,0,,2439,2294,2402,4
BachFugue_bwv_865,Bach/Fugue/bwv_865/ZhangE01M.mid,P4-L-NP,2294,2398,2294,0.9566305254378649,1.0,0.9778346121057119,2293,2398,2294,0.9562135112593828,0.9995640802092415,0.9774083546462063,1689,2398,2294,0.7043369474562136,0.7362685265911072,0.7199488491048593,2293,1689,0.7365896205843873,0.23188326791626693,True,89,42,0.47191011235955055,True,1689,594,0.35168738898756663,False,0,0,0,,2439,2294,2402,4
BachFugue_bwv_875,Bach/Fugue/bwv_875/Ahfat01M.mid,P4-R,766,803,767,0.9539227895392279,0.9986962190352021,0.9757961783439492,766,803,767,0.9539227895392279,0.9986962190352021,0.9757961783439492,344,803,767,0.42839352428393523,0.4485006518904824,0.43821656050955415,766,344,0.4490861618798956,0.430319843189295,True,31,26,0.8387096774193549,True,344,179,0.5203488372093024,False,0,0,0,,796,767,806,3
