hand,pitch,onset_ql,key_duration_ql,acoustic_duration_ql,notation_duration_ql,pedal_extended_ql,notation_minus_key_ql,notation_minus_acoustic_ql,next_hand_onset_ql,truncated_by_current_single_voice
RH,65,9.171875,0.7473958333333321,0.7473958333333321,0.75,0.0,0.002604166666667851,0.002604166666667851,10.0,False
LH,53,9.182291666666666,1.630208333333334,1.630208333333334,1.541666666666666,0.0,-0.08854166666666785,-0.08854166666666785,10.666666666666666,True
RH,65,9.9453125,0.7135416666666661,0.8229166666666661,0.6666666666666661,0.109375,-0.046875,-0.15625,10.666666666666666,False
RH,65,10.677083333333332,0.3020833333333339,0.3020833333333339,0.20833333333333393,0.0,-0.09375,-0.09375,10.875,True
LH,57,10.692708333333332,1.1666666666666679,1.1666666666666679,1.125,0.0,-0.04166666666666785,-0.04166666666666785,12.125,False
LH,45,10.6953125,1.7239583333333321,1.7239583333333321,1.458333333333334,0.0,-0.2656249999999982,-0.2656249999999982,12.125,True
RH,67,10.934895833333332,0.28385416666666785,0.28385416666666785,0.25,0.0,-0.03385416666666785,-0.03385416666666785,11.125,True
RH,65,11.169270833333332,0.33072916666666785,0.40885416666666785,0.25,0.078125,-0.08072916666666785,-0.15885416666666785,11.375,True
RH,67,11.359375,0.2604166666666661,0.2604166666666661,0.125,0.0,-0.13541666666666607,-0.13541666666666607,11.5,True
RH,65,11.510416666666666,0.24739583333333393,0.24739583333333393,0.125,0.0,-0.12239583333333393,-0.12239583333333393,11.625,True
RH,67,11.640625,0.23697916666666607,0.23697916666666607,0.125,0.0,-0.11197916666666607,-0.11197916666666607,11.75,True
RH,65,11.776041666666666,0.2421875,0.2421875,0.125,0.0,-0.1171875,-0.1171875,11.875,True
RH,67,11.908854166666666,0.25,0.25,0.125,0.0,-0.125,-0.125,12.0,True
RH,65,12.033854166666666,0.24479166666666607,0.24479166666666607,0.125,0.0,-0.11979166666666607,-0.11979166666666607,12.125,True
LH,53,12.106770833333332,1.466145833333334,1.466145833333334,1.375,0.0,-0.09114583333333393,-0.09114583333333393,13.5,True
RH,67,12.169270833333332,0.22916666666666785,0.22916666666666785,0.20833333333333215,0.0,-0.020833333333335702,-0.020833333333335702,12.333333333333332,True
RH,65,12.294270833333332,0.24479166666666785,0.24479166666666785,0.04166666666666785,0.0,-0.203125,-0.203125,12.375,True
RH,67,12.427083333333332,0.25260416666666785,0.25260416666666785,0.125,0.0,-0.12760416666666785,-0.12760416666666785,12.5,True
RH,65,12.552083333333332,0.24739583333333393,0.24739583333333393,0.16666666666666607,0.0,-0.08072916666666785,-0.08072916666666785,12.666666666666666,True
RH,67,12.690104166666666,0.1015625,0.1015625,0.125,0.0,0.0234375,0.0234375,12.875,False
RH,64,12.833333333333332,0.29947916666666785,0.29947916666666785,0.25,0.0,-0.04947916666666785,-0.04947916666666785,13.125,True
RH,65,13.174479166666666,0.3880208333333339,0.3880208333333339,0.375,0.0,-0.013020833333333925,-0.013020833333333925,13.5,True
LH,52,13.544270833333332,1.403645833333334,1.403645833333334,1.375,0.0,-0.028645833333333925,-0.028645833333333925,15.0,False
RH,67,13.572916666666666,1.427083333333334,1.427083333333334,1.375,0.0,-0.052083333333333925,-0.052083333333333925,15.0,False
LH,48,14.9921875,1.5390625,1.5390625,1.5,0.0,-0.0390625,-0.0390625,16.5,True
RH,67,15.0078125,1.4921875,1.4921875,0.75,0.0,-0.7421875,-0.7421875,15.75,True
RH,69,15.7265625,0.3828125,0.3828125,0.375,0.0,-0.0078125,-0.0078125,16.125,False
RH,70,16.106770833333332,0.41145833333333215,0.41145833333333215,0.375,0.0,-0.03645833333333215,-0.03645833333333215,16.5,True
RH,69,16.466145833333332,0.9921875,1.1848958333333321,1.0,0.19270833333333215,0.0078125,-0.18489583333333215,17.875,False
LH,53,16.471354166666664,1.328125,1.328125,1.3333333333333333,0.0,0.005208333333333259,0.005208333333333259,17.875,False
LH,58,17.9296875,1.2291666666666643,1.2291666666666643,1.25,0.0,0.020833333333335702,0.020833333333335702,20.875,False
RH,74,17.9375,0.4791666666666643,0.4791666666666643,0.125,0.0,-0.3541666666666643,-0.3541666666666643,18.0,True
RH,70,17.989583333333332,0.6901041666666679,0.6901041666666679,0.5,0.0,-0.19010416666666785,-0.19010416666666785,18.5,True
RH,72,18.4453125,0.8125,0.8125,0.5,0.0,-0.3125,-0.3125,19.0,True
RH,70,18.9375,0.5338541666666643,0.5338541666666643,0.375,0.0,-0.1588541666666643,-0.1588541666666643,19.375,True
RH,69,19.421875,0.6770833333333321,0.6770833333333321,0.6666666666666666,0.0,-0.01041666666666552,-0.01041666666666552,20.875,False
RH,60,19.4375,1.0,1.0,1.0,0.0,0.0,0.0,20.875,False
RH,67,20.8671875,0.171875,0.171875,0.125,0.0,-0.046875,-0.046875,21.0,True
LH,48,20.869791666666664,1.5286458333333357,1.5286458333333357,1.4583333333333321,0.0,-0.07031250000000355,-0.07031250000000355,22.333333333333332,True
RH,69,21.049479166666664,0.0859375,0.0859375,0.125,0.0,0.0390625,0.0390625,21.25,False
RH,67,21.229166666666664,0.140625,0.140625,0.125,0.0,-0.015625,-0.015625,21.375,False
RH,69,21.388020833333332,0.10416666666666785,0.10416666666666785,0.125,0.0,0.02083333333333215,0.02083333333333215,21.5,False
RH,67,21.520833333333332,0.13020833333333215,0.13020833333333215,0.125,0.0,-0.005208333333332149,-0.005208333333332149,21.666666666666664,False
RH,69,21.669270833333332,0.16927083333333215,0.16927083333333215,0.0833333333333357,0.0,-0.08593749999999645,-0.08593749999999645,21.75,True
RH,67,21.799479166666664,0.0911458333333357,0.0911458333333357,0.125,0.0,0.0338541666666643,0.0338541666666643,22.0,False
RH,69,21.9375,0.30208333333333215,0.30208333333333215,0.125,0.0,-0.17708333333333215,-0.17708333333333215,22.125,True
RH,65,21.966145833333332,0.1328125,0.1328125,0.125,0.0,-0.0078125,-0.0078125,22.125,False
RH,67,22.1484375,0.1015625,0.1015625,0.125,0.0,0.0234375,0.0234375,22.333333333333332,False
LH,53,22.3203125,1.4973958333333321,1.4973958333333321,1.5,0.0,0.002604166666667851,0.002604166666667851,23.875,False
RH,65,22.330729166666664,1.4869791666666679,1.4869791666666679,1.5,0.0,0.013020833333332149,0.013020833333332149,26.875,False
LH,48,23.8359375,0.84375,1.0130208333333321,0.875,0.16927083333333215,0.03125,-0.13802083333333215,25.375,False
LH,41,25.359375,1.1796875,1.1796875,1.125,0.0,-0.0546875,-0.0546875,26.875,False
LH,55,26.872395833333332,3.145833333333332,3.145833333333332,3.0,0.0,-0.14583333333333215,-0.14583333333333215,29.875,True
RH,67,26.875,3.203125,3.203125,0.75,0.0,-2.453125,-2.453125,27.625,True
RH,77,27.606770833333332,0.7526041666666679,0.7708333333333321,0.75,0.018229166666664298,-0.002604166666667851,-0.02083333333333215,28.375,False
RH,77,28.388020833333332,1.671875,1.671875,0.75,0.0,-0.921875,-0.921875,29.125,True
RH,74,29.104166666666664,0.6953125,0.6953125,0.6666666666666666,0.0,-0.02864583333333337,-0.02864583333333337,29.875,False
RH,74,29.8203125,0.9375,1.2786458333333321,0.625,0.34114583333333215,-0.3125,-0.6536458333333321,30.5,True
LH,53,29.830729166666664,1.5234375,1.5234375,1.375,0.0,-0.1484375,-0.1484375,31.25,True
RH,71,30.5390625,0.38020833333333215,0.5598958333333321,0.375,0.1796875,-0.005208333333332149,-0.18489583333333215,31.25,False
RH,72,31.2890625,3.109375,3.109375,2.25,0.0,-0.859375,-0.859375,33.5,True
LH,52,31.291666666666664,4.440104166666664,4.440104166666664,4.416666666666664,0.0,-0.0234375,-0.0234375,35.666666666666664,True
RH,76,33.5078125,0.8098958333333286,0.8385416666666643,0.75,0.028645833333335702,-0.059895833333328596,-0.0885416666666643,34.25,True
RH,79,34.2421875,1.5755208333333286,1.5755208333333286,1.4166666666666643,0.0,-0.1588541666666643,-0.1588541666666643,35.666666666666664,True
RH,67,35.6875,2.9322916666666643,2.9322916666666643,0.8333333333333357,0.0,-2.0989583333333286,-2.0989583333333286,36.5,True
LH,55,35.70052083333333,2.9192708333333357,2.9192708333333357,2.875,0.0,-0.0442708333333357,-0.0442708333333357,38.625,False
RH,77,36.4375,0.7421875,0.9010416666666643,0.75,0.1588541666666643,0.0078125,-0.1510416666666643,37.25,False
RH,77,37.20052083333333,0.7994791666666714,0.7994791666666714,0.75,0.0,-0.049479166666671404,-0.049479166666671404,38.0,False
RH,74,37.9453125,0.6536458333333286,0.6536458333333286,0.625,0.0,-0.028645833333328596,-0.028645833333328596,38.625,False
RH,74,38.627604166666664,1.6119791666666643,1.6119791666666643,0.7083333333333286,0.0,-0.9036458333333357,-0.9036458333333357,39.33333333333333,True
LH,53,38.63020833333333,1.4713541666666714,1.4713541666666714,1.5,0.0,0.028645833333328596,0.028645833333328596,40.125,False
RH,71,39.34895833333333,0.8697916666666714,0.8697916666666714,0.7916666666666714,0.0,-0.078125,-0.078125,40.125,True
LH,52,40.0703125,4.497395833333329,4.497395833333329,4.375,0.0,-0.1223958333333286,-0.1223958333333286,44.5,True
RH,72,40.072916666666664,3.1067708333333357,3.1067708333333357,2.2083333333333286,0.0,-0.8984375000000071,-0.8984375000000071,42.33333333333333,True
RH,76,42.29427083333333,0.8151041666666714,0.8645833333333357,0.6666666666666714,0.0494791666666643,-0.1484375,-0.1979166666666643,43.0,True
RH,79,43.0390625,1.3385416666666643,1.3385416666666643,1.3333333333333333,0.0,-0.005208333333331039,-0.005208333333331039,44.5,False
LH,53,44.526041666666664,1.4557291666666643,1.4557291666666643,1.5,0.0,0.0442708333333357,0.0442708333333357,46.0,False
RH,81,44.53125,0.9270833333333286,1.0677083333333286,0.5,0.140625,-0.4270833333333286,-0.5677083333333286,45.0,True
RH,77,45.00520833333333,0.953125,0.953125,0.5,0.0,-0.453125,-0.453125,45.5,True
RH,74,45.50520833333333,0.59375,0.59375,0.5,0.0,-0.09375,-0.09375,46.0,True
LH,55,46.0078125,3.0520833333333286,3.0520833333333286,1.5,0.0,-1.5520833333333286,-1.5520833333333286,47.5,True
RH,79,46.010416666666664,1.2682291666666643,1.3177083333333357,0.5,0.049479166666671404,-0.7682291666666643,-0.8177083333333357,46.5,True
RH,76,46.494791666666664,0.5234375,0.8333333333333357,0.5,0.3098958333333357,-0.0234375,-0.3333333333333357,47.0,True
RH,72,46.97395833333333,0.5260416666666714,0.5260416666666714,0.5,0.0,-0.026041666666671404,-0.026041666666671404,47.5,False
RH,77,47.4453125,0.5416666666666643,0.5416666666666643,0.5,0.0,-0.0416666666666643,-0.0416666666666643,48.0,False
LH,43,47.453125,1.4557291666666643,1.4557291666666643,1.375,0.0,-0.0807291666666643,-0.0807291666666643,48.875,True
RH,74,47.94270833333333,0.4661458333333357,0.4661458333333357,0.375,0.0,-0.0911458333333357,-0.0911458333333357,48.375,True
RH,71,48.401041666666664,0.4973958333333357,0.4973958333333357,0.5,0.0,0.002604166666664298,0.002604166666664298,48.875,False
RH,71,48.908854166666664,3.0494791666666643,3.0494791666666643,3.0,0.0,-0.0494791666666643,-0.0494791666666643,51.875,True
LH,48,48.924479166666664,1.4348958333333357,1.4348958333333357,1.375,0.0,-0.0598958333333357,-0.0598958333333357,50.375,False
LH,43,50.3671875,1.6119791666666643,1.6119791666666643,1.5,0.0,-0.1119791666666643,-0.1119791666666643,51.875,True
RH,72,51.893229166666664,1.5651041666666643,1.5651041666666643,1.5,0.0,-0.0651041666666643,-0.0651041666666643,53.375,True
LH,36,51.908854166666664,1.0598958333333357,1.1692708333333357,1.0,0.109375,-0.0598958333333357,-0.1692708333333357,53.375,False
RH,65,53.4140625,0.6041666666666643,1.5729166666666643,0.625,0.96875,0.020833333333335702,-0.9479166666666643,54.25,False
LH,53,53.4296875,1.5989583333333286,1.5989583333333286,1.5,0.0,-0.0989583333333286,-0.0989583333333286,54.875,True
RH,65,54.190104166666664,0.2213541666666643,0.796875,0.25,0.5755208333333357,0.028645833333335702,-0.546875,54.875,False
RH,65,54.92708333333333,0.3046875,0.3046875,0.25,0.0,-0.0546875,-0.0546875,55.125,True
LH,45,54.932291666666664,0.026041666666664298,0.0546875,0.125,0.028645833333335702,0.0989583333333357,0.0703125,56.375,False
LH,57,54.932291666666664,1.3671875,1.4453125,1.375,0.078125,0.0078125,-0.0703125,56.375,False
RH,67,55.182291666666664,0.0911458333333357,0.0911458333333357,0.125,0.0,0.0338541666666643,0.0338541666666643,55.375,False
RH,65,55.4140625,0.1432291666666643,0.1432291666666643,0.125,0.0,-0.018229166666664298,-0.018229166666664298,55.625,False
RH,67,55.604166666666664,0.2734375,0.7734375,0.125,0.5,-0.1484375,-0.6484375,55.75,True
RH,65,55.752604166666664,0.2473958333333357,0.625,0.125,0.3776041666666643,-0.1223958333333357,-0.5,55.875,True
RH,67,55.890625,0.2473958333333286,0.4869791666666643,0.125,0.2395833333333357,-0.1223958333333286,-0.3619791666666643,56.0,True
RH,65,56.018229166666664,0.2395833333333357,0.359375,0.125,0.1197916666666643,-0.1145833333333357,-0.234375,56.125,True
RH,67,56.151041666666664,0.2473958333333357,0.2473958333333357,0.125,0.0,-0.1223958333333357,-0.1223958333333357,56.25,True
RH,65,56.27864583333333,0.109375,0.109375,0.125,0.0,0.015625,0.015625,56.375,False
LH,53,56.361979166666664,1.4557291666666643,1.4557291666666643,1.375,0.0,-0.0807291666666643,-0.0807291666666643,57.75,True
RH,67,56.408854166666664,0.25,0.25,0.125,0.0,-0.125,-0.125,56.5,True
RH,65,56.5390625,0.2395833333333286,0.2395833333333286,0.1666666666666643,0.0,-0.0729166666666643,-0.0729166666666643,56.666666666666664,True
RH,67,56.671875,0.2473958333333286,0.2473958333333286,0.0833333333333357,0.0,-0.1640624999999929,-0.1640624999999929,56.75,True
RH,65,56.8046875,0.2135416666666643,0.2135416666666643,0.25,0.0,0.0364583333333357,0.0364583333333357,57.0,False
