interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
46,80.143750,81.212500,m.27 beat 3.144,m.28 beat 1.213,81.000000,81.212500,
47,81.402083,81.900000,m.28 beat 1.402,m.28 beat 1.900,81.402083,81.900000,0.189583
48,82.054167,82.552083,m.28 beat 2.054,m.28 beat 2.552,82.054167,82.552083,0.154167
49,82.750000,83.277083,m.28 beat 2.750,m.28 beat 3.277,82.750000,83.277083,0.197917
50,83.504167,84.041667,m.28 beat 3.504,m.29 beat 1.042,83.504167,84.041667,0.227083
51,84.235417,84.770833,m.29 beat 1.235,m.29 beat 1.771,84.235417,84.770833,0.193750
52,85.029167,85.410417,m.29 beat 2.029,m.29 beat 2.410,85.029167,85.410417,0.258333
53,85.491667,86.141667,m.29 beat 2.492,m.29 beat 3.142,85.491667,86.141667,0.081250
54,86.295833,87.097917,m.29 beat 3.296,m.30 beat 1.098,86.295833,87.097917,0.154167
55,87.287500,87.820833,m.30 beat 1.288,m.30 beat 1.821,87.287500,87.820833,0.189583
56,87.977083,88.516667,m.30 beat 1.977,m.30 beat 2.517,87.977083,88.516667,0.156250
57,88.668750,89.275000,m.30 beat 2.669,m.30 beat 3.275,88.668750,89.275000,0.152083
58,89.427083,90.004167,m.30 beat 3.427,m.31 beat 1.004,89.427083,90.004167,0.152083
59,90.156250,90.693750,m.31 beat 1.156,m.31 beat 1.694,90.156250,90.693750,0.152083
60,90.914583,91.377083,m.31 beat 1.915,m.31 beat 2.377,90.914583,91.377083,0.220833
61,91.491667,92.339583,m.31 beat 2.492,m.31 beat 3.340,91.491667,92.339583,0.114583
62,92.570833,93.445833,m.31 beat 3.571,m.32 beat 1.446,92.570833,93.000000,0.231250
