interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
406,431.419271,432.166667,m.108 beat 4.419,m.109 beat 1.167,432.000000,432.166667,
407,432.322917,432.958333,m.109 beat 1.323,m.109 beat 1.958,432.322917,432.958333,0.156250
408,433.119792,433.906250,m.109 beat 2.120,m.109 beat 2.906,433.119792,433.906250,0.161458
409,434.062500,434.736979,m.109 beat 3.062,m.109 beat 3.737,434.062500,434.736979,0.156250
410,434.854167,435.591146,m.109 beat 3.854,m.109 beat 4.591,434.854167,435.591146,0.117188
411,435.708333,436.458333,m.109 beat 4.708,m.110 beat 1.458,435.708333,436.458333,0.117188
412,436.580729,437.270833,m.110 beat 1.581,m.110 beat 2.271,436.580729,437.270833,0.122396
413,437.388021,438.028646,m.110 beat 2.388,m.110 beat 3.029,437.388021,438.028646,0.117188
414,438.223958,438.817708,m.110 beat 3.224,m.110 beat 3.818,438.223958,438.817708,0.195312
415,438.934896,439.750000,m.110 beat 3.935,m.110 beat 4.750,438.934896,439.750000,0.117188
416,439.908854,440.989583,m.110 beat 4.909,m.111 beat 1.990,439.908854,440.989583,0.158854
417,441.130208,442.000000,m.111 beat 2.130,m.111 beat 3.000,441.130208,442.000000,0.140625
418,442.078125,442.710938,m.111 beat 3.078,m.111 beat 3.711,442.078125,442.710938,0.078125
419,442.750000,443.450521,m.111 beat 3.750,m.111 beat 4.451,442.750000,443.450521,0.039062
420,443.567708,444.320312,m.111 beat 4.568,m.112 beat 1.320,443.567708,444.320312,0.117188
421,444.440104,445.924479,m.112 beat 1.440,m.112 beat 2.924,444.440104,445.924479,0.119792
422,446.044271,446.914062,m.112 beat 3.044,m.112 beat 3.914,446.044271,446.914062,0.119792
423,447.039062,448.325521,m.112 beat 4.039,m.113 beat 1.326,447.039062,448.000000,0.125000
