interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
89,291.953125,292.260417,m.146 beat 2.953,m.147 beat 1.260,292.000000,292.260417,
90,292.299479,292.611979,m.147 beat 1.299,m.147 beat 1.612,292.299479,292.611979,0.039062
91,292.705729,292.937500,m.147 beat 1.706,m.147 beat 1.938,292.705729,292.937500,0.093750
92,292.976562,293.632812,m.147 beat 1.977,m.147 beat 2.633,292.976562,293.632812,0.039062
93,293.747396,295.002604,m.147 beat 2.747,m.148 beat 2.003,293.747396,295.002604,0.114583
94,295.119792,296.507812,m.148 beat 2.120,m.149 beat 1.508,295.119792,296.507812,0.117188
95,296.682292,297.955729,m.149 beat 1.682,m.149 beat 2.956,296.682292,297.955729,0.174479
96,298.072917,298.593750,m.150 beat 1.073,m.150 beat 1.594,298.072917,298.593750,0.117188
97,298.669271,299.135417,m.150 beat 1.669,m.150 beat 2.135,298.669271,299.135417,0.075521
98,299.250000,299.638021,m.150 beat 2.250,m.150 beat 2.638,299.250000,299.638021,0.114583
99,299.755208,300.023438,m.150 beat 2.755,m.151 beat 1.023,299.755208,300.000000,0.117188
