interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
972,2375.358333,2376.141667,m.1188 beat 2.358,m.1189 beat 1.142,2376.000000,2376.141667,
973,2376.218750,2376.918750,m.1189 beat 1.219,m.1189 beat 1.919,2376.218750,2376.918750,0.077083
974,2376.960417,2377.777083,m.1189 beat 1.960,m.1189 beat 2.777,2376.960417,2377.777083,0.041667
975,2377.979167,2378.595833,m.1189 beat 2.979,m.1190 beat 1.596,2377.979167,2378.595833,0.202083
976,2378.635417,2379.414583,m.1190 beat 1.635,m.1190 beat 2.415,2378.635417,2379.414583,0.039583
977,2379.493750,2380.152083,m.1190 beat 2.494,m.1191 beat 1.152,2379.493750,2380.152083,0.079167
978,2380.233333,2381.050000,m.1191 beat 1.233,m.1191 beat 2.050,2380.233333,2381.050000,0.081250
979,2381.127083,2381.829167,m.1191 beat 2.127,m.1191 beat 2.829,2381.127083,2381.829167,0.077083
980,2381.908333,2382.725000,m.1191 beat 2.908,m.1192 beat 1.725,2381.908333,2382.725000,0.079167
981,2382.881250,2383.504167,m.1192 beat 1.881,m.1192 beat 2.504,2382.881250,2383.504167,0.156250
982,2383.539583,2384.750000,m.1192 beat 2.540,m.1193 beat 1.750,2383.539583,2384.000000,0.035417
