pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,review_priority,suggested_review_class,label,review_class,review_note
71,50,1,9.625,0.40625,1.125,1.171875,0.046875,1.125,1.125,0.0,0.046875,0,0,1,0.956325695,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
71,50,1,9.625,0.40625,1.125,1.171875,0.046875,1.125,1.0,0.125,0.171875,0,0,0,0.748567959,key-release-grid,schubert_d979,RH,normal,notation-shortening,,,
83,55,1,9.625,0.40625,1.125,1.171875,0.046875,1.125,1.125,0.0,0.046875,0,0,1,0.956325695,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
83,55,1,9.625,0.40625,1.125,1.171875,0.046875,1.125,1.0,0.125,0.171875,0,0,0,0.748567959,key-release-grid,schubert_d979,RH,normal,notation-shortening,,,
71,55,1,10.75,0.6875,2.0,2.091145833,0.091145833,2.0,2.0,0.0,0.091145833,1,0,1,0.889118532,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
71,55,1,10.75,0.6875,2.0,2.091145833,0.091145833,2.0,1.25,0.75,0.841145833,0,1,0,0.287302784,barline,schubert_d979,RH,normal,notation-shortening,,,
83,62,1,10.75,0.6875,2.0,2.091145833,0.091145833,2.0,2.0,0.0,0.091145833,1,0,1,0.889118532,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
83,62,1,10.75,0.6875,2.0,2.091145833,0.091145833,2.0,1.25,0.75,0.841145833,0,1,0,0.287302784,barline,schubert_d979,RH,normal,notation-shortening,,,
67,51,2,12.25,0.0625,1.625,1.625,0.0,3.0,1.625,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
67,51,2,12.25,0.0625,1.625,1.625,0.0,3.0,1.666666667,0.041666667,0.041666667,0,0,0,0.881838446,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
67,51,2,12.25,0.0625,1.625,1.625,0.0,3.0,1.5,0.125,0.125,0,0,0,0.760337542,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
67,51,2,12.25,0.0625,1.625,1.625,0.0,3.0,3.0,1.375,1.375,0,0,1,0.11276198,next-voice-onset,schubert_d979,RH,normal,notation-shortening,,,
79,65,2,12.25,0.0625,1.625,1.625,0.0,3.0,1.625,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,high,independent-voice,,,
79,65,2,12.25,0.0625,1.625,1.625,0.0,3.0,1.666666667,0.041666667,0.041666667,0,0,0,0.881838446,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,high,independent-voice,,,
79,65,2,12.25,0.0625,1.625,1.625,0.0,3.0,1.5,0.125,0.125,0,0,0,0.760337542,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,high,independent-voice,,,
79,65,2,12.25,0.0625,1.625,1.625,0.0,3.0,3.0,1.375,1.375,0,0,1,0.11276198,next-voice-onset,schubert_d979,RH,high,independent-voice,,,
71,66,1,12.75,0.1875,1.0,1.098958333,0.098958333,1.0,1.0,0.0,0.098958333,0,0,1,0.942007445,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
83,80,1,12.75,0.1875,1.0,1.098958333,0.098958333,1.0,1.0,0.0,0.098958333,0,0,1,0.942007445,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
71,67,1,13.75,0.4375,2.0,2.080729167,0.080729167,2.0,2.0,0.0,0.080729167,0,0,1,0.946917364,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
83,74,1,13.75,0.4375,2.0,2.080729167,0.080729167,2.0,2.0,0.0,0.080729167,0,0,1,0.946917364,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
78,73,2,15.25,0.8125,1.5,1.5,0.0,1.5,1.5,0.0,0.0,1,0,1,0.913511598,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
78,73,2,15.25,0.8125,1.5,1.5,0.0,1.5,1.333333333,0.166666667,0.166666667,1,0,0,0.665125539,key-release-grid+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
78,73,2,15.25,0.8125,1.5,1.5,0.0,1.5,0.75,0.75,0.75,0,1,0,0.297833527,barline,schubert_d979,RH,normal,notation-shortening,,,
71,66,1,15.75,0.9375,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0.913511598,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
71,66,1,15.75,0.9375,1.0,1.0,0.0,1.0,0.25,0.75,0.75,0,1,0,0.297833527,barline,schubert_d979,RH,normal,notation-shortening,,,
83,81,1,15.75,0.9375,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0.913511598,key-release-grid+next-voice-onset+pedal-acoustic-grid,schubert_d979,RH,normal,notation-shortening,,,
83,81,1,15.75,0.9375,1.0,1.0,0.0,1.0,0.25,0.75,0.75,0,1,0,0.297833527,barline,schubert_d979,RH,normal,notation-shortening,,,
71,64,1,16.75,0.1875,2.125,3.1171875,0.9921875,2.125,2.125,0.0,0.9921875,0,0,1,0.796007796,key-release-grid+next-voice-onset,schubert_d979,RH,medium,pedal-only,,,
71,64,1,16.75,0.1875,2.125,3.1171875,0.9921875,2.125,2.0,0.125,1.1171875,0,0,0,0.610581065,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
83,75,2,16.75,0.1875,2.125,3.1171875,0.9921875,2.125,2.125,0.0,0.9921875,0,0,1,0.796007796,key-release-grid+next-voice-onset,schubert_d979,RH,medium,pedal-only,,,
83,75,2,16.75,0.1875,2.125,3.1171875,0.9921875,2.125,2.0,0.125,1.1171875,0,0,0,0.610581065,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,0.625,0.0,0.9921875,0,0,0,0.776007796,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,0.666666667,0.041666667,0.950520833,0,0,0,0.723935889,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,0.5,0.125,1.1171875,0,0,0,0.610581065,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,1.625,1.0,0.0078125,0,0,0,0.3424019,pedal-acoustic-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,1.5,0.875,0.1171875,0,0,0,0.338845524,pedal-acoustic-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,1.75,1.125,0.1328125,0,1,0,0.326948594,barline,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,1.666666667,1.041666667,0.049479167,0,0,0,0.32274846,pedal-acoustic-grid,schubert_d979,RH,medium,pedal-only,,,
69,74,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,6.125,5.5,4.5078125,1,0,1,0.019899767,next-voice-onset,schubert_d979,RH,medium,notation-shortening,,,
81,78,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,0.625,0.0,0.9921875,0,0,0,0.776007796,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
81,78,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,0.666666667,0.041666667,0.950520833,0,0,0,0.723935889,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
81,78,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,0.5,0.125,1.1171875,0,0,0,0.610581065,key-release-grid,schubert_d979,RH,medium,pedal-only,,,
81,78,3,18.25,0.5625,0.625,1.6171875,0.9921875,6.125,1.625,1.0,0.0078125,0,0,0,0.3424019,pedal-acoustic-grid,schubert_d979,RH,medium,pedal-only,,,
