pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,review_priority,suggested_review_class,label,review_class,review_note
79,92,1,0.875,0.21875,0.125,0.125,0.0,0.375,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,92,1,0.875,0.21875,0.125,0.125,0.0,0.375,0.375,0.25,0.25,0,0,1,0.629776017,next-voice-onset,scarlatti_k79,RH,normal,notation-shortening,,,
79,84,1,1.25,0.3125,0.125,0.125,0.0,0.375,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,84,1,1.25,0.3125,0.125,0.125,0.0,0.375,0.375,0.25,0.25,0,0,1,0.629776017,next-voice-onset,scarlatti_k79,RH,normal,notation-shortening,,,
81,82,1,1.625,0.40625,0.375,0.375,0.0,0.375,0.375,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
81,82,1,1.625,0.40625,0.375,0.375,0.0,0.375,0.333333333,0.041666667,0.041666667,0,0,0,0.881838446,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,79,1,2.0,0.5,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,79,1,2.0,0.5,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,scarlatti_k79,RH,normal,notation-shortening,,,
79,92,1,2.25,0.5625,0.125,0.125,0.0,0.375,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,92,1,2.25,0.5625,0.125,0.125,0.0,0.375,0.375,0.25,0.25,0,0,1,0.629776017,next-voice-onset,scarlatti_k79,RH,normal,notation-shortening,,,
81,82,1,2.625,0.65625,0.375,0.375,0.0,0.375,0.375,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
81,82,1,2.625,0.65625,0.375,0.375,0.0,0.375,0.333333333,0.041666667,0.041666667,0,0,0,0.881838446,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,78,1,3.0,0.75,0.125,0.125,0.0,0.25,0.125,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
79,78,1,3.0,0.75,0.125,0.125,0.0,0.25,0.25,0.125,0.125,0,0,1,0.780337542,next-voice-onset,scarlatti_k79,RH,normal,notation-shortening,,,
78,83,1,3.25,0.8125,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,scarlatti_k79,RH,normal,notation-shortening,,,
