pitch,velocity,voice,onset_ql,beat_position,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,candidate_duration_ql,candidate_key_gap_ql,candidate_acoustic_gap_ql,candidate_crosses_barline,candidate_has_barline,candidate_has_next_onset,rule_probability,candidate_source,piece,hand,review_priority,suggested_review_class,label,review_class,review_note
65,76,1,9.125,0.28125,0.75,0.75,0.0,0.875,0.75,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,76,1,9.125,0.28125,0.75,0.75,0.0,0.875,0.666666667,0.083333333,0.083333333,0,0,0,0.818746562,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,76,1,9.125,0.28125,0.75,0.75,0.0,0.875,0.875,0.125,0.125,0,0,1,0.780337542,next-voice-onset,mozart_k4,RH,normal,notation-shortening,,,
65,74,1,10.0,0.5,0.666666667,0.768229167,0.1015625,0.666666667,0.666666667,0.0,0.1015625,0,0,1,0.941314754,key-release-grid+next-voice-onset+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,74,1,10.0,0.5,0.666666667,0.768229167,0.1015625,0.666666667,0.625,0.041666667,0.143229167,0,0,0,0.854552197,key-release-grid,mozart_k4,RH,normal,notation-shortening,,,
65,74,1,10.666666667,0.666666667,0.333333333,0.333333333,0.0,0.458333333,0.333333333,0.0,0.0,0,0,0,0.949999999,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,74,1,10.666666667,0.666666667,0.333333333,0.333333333,0.0,0.458333333,0.375,0.041666667,0.041666667,0,0,0,0.881838446,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,74,1,10.666666667,0.666666667,0.333333333,0.333333333,0.0,0.458333333,0.25,0.083333333,0.083333333,0,0,0,0.818746562,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,74,1,10.666666667,0.666666667,0.333333333,0.333333333,0.0,0.458333333,0.458333333,0.125,0.125,0,0,1,0.780337543,next-voice-onset,mozart_k4,RH,normal,notation-shortening,,,
67,71,2,10.875,0.71875,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0,0,0,0.95,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
67,71,2,10.875,0.71875,0.25,0.25,0.0,0.5,0.333333333,0.083333333,0.083333333,0,0,0,0.818746562,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
67,71,2,10.875,0.71875,0.25,0.25,0.0,0.5,0.5,0.25,0.25,0,0,1,0.629776017,next-voice-onset,mozart_k4,RH,normal,notation-shortening,,,
65,73,1,11.125,0.78125,0.375,0.453125,0.078125,0.375,0.375,0.0,0.078125,0,0,1,0.94762759,key-release-grid+next-voice-onset,mozart_k4,RH,normal,notation-shortening,,,
65,73,1,11.125,0.78125,0.375,0.453125,0.078125,0.375,0.333333333,0.041666667,0.119791667,0,0,0,0.860557151,key-release-grid+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
67,70,2,11.375,0.84375,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,72,1,11.5,0.875,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
67,73,2,11.625,0.90625,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0,0,1,0.97,key-release-grid+next-voice-onset+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
65,71,1,11.75,0.9375,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0,1,1,0.999,barline+key-release-grid+next-voice-onset+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
67,72,2,11.875,0.96875,0.25,0.25,0.0,0.25,0.25,0.0,0.0,1,0,1,0.913511598,key-release-grid+next-voice-onset+pedal-acoustic-grid,mozart_k4,RH,normal,notation-shortening,,,
