segment_id,piece,composer,title,event_id,hand,pitch,onset_ql,onset_location,voice,key_duration_ql,acoustic_duration_ql,pedal_extension_ql,next_voice_gap_ql,review_priority,reference_part,reference_voice,reference_onset_ql,reference_duration_ql,reference_tie_start,reference_tie_stop,auto_label_status,candidate_durations,candidate_sources,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:43:388.625000:1,LH,43,388.625000,m.98 beat 1.625,1,0.125,2.454166667,2.329166667,1.75,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000;0.500000;1.000000;1.750000,key-release-grid;next-voice-onset;P1.5-extended,yes,change,none,0.125,pedal-only,pedal carries sustain; keep short written note
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:45:387.875000:1,LH,45,387.875000,m.97 beat 4.875,1,0.25,0.639583333,0.389583333,0.25,medium,,,,,,,unmatched,0.125000;0.166667;0.250000,barline;key-release-grid+next-voice-onset;P1.5-extended,yes,change,none,0.25,pedal-only,pedal carries sustain; keep short written note
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:47:387.125000:1,LH,47,387.125000,m.97 beat 4.125,1,0.125,0.125,0.0,0.208333333,normal,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.208333,key-release-grid+pedal-acoustic-grid;next-voice-onset;P1.5-extended,no,release,none,0.125,,routine; written duration follows score/readability
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:47:387.500000:1,LH,47,387.500000,m.97 beat 4.500,1,0.125,0.358333333,0.233333333,0.125,normal,,,,,,,unmatched,0.062500;0.125000,key-release-grid+next-voice-onset;P1.5-extended,no,hold,none,0.125,,routine; written duration follows score/readability
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:48:385.875000:1,LH,48,385.875000,m.97 beat 2.875,1,0.125,0.125,0.0,0.25,normal,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000,key-release-grid+pedal-acoustic-grid;next-voice-onset;P1.5-extended,no,change,none,0.125,,routine; written duration follows score/readability
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:48:386.333333:1,LH,48,386.333333,m.97 beat 3.333,1,0.125,0.65625,0.53125,0.166666667,medium,,,,,,,unmatched,0.062500;0.125000;0.166667,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:48:386.666667:1,LH,48,386.666667,m.97 beat 3.667,1,0.125,0.322916667,0.197916667,0.208333333,normal,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.208333,key-release-grid;next-voice-onset;P1.5-extended,no,hold,none,0.125,,routine; written duration follows score/readability
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:50:384.750000:1,LH,50,384.750000,m.97 beat 1.750,1,0.125,0.125,0.0,0.375,normal,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid+pedal-acoustic-grid;next-voice-onset;P1.5-extended,no,change,none,0.125,,routine; written duration follows score/readability
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:50:385.125000:1,LH,50,385.125000,m.97 beat 2.125,1,0.125,0.820833333,0.695833333,0.375,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.375000,key-release-grid;next-voice-onset;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
Beethoven_Piano_Sonatas_26-3_96,BeethovenPiano_Sonatas_26-3,Beethoven,Piano_Sonatas_26-3,BeethovenPiano_Sonatas_26-3:LH:50:385.500000:1,LH,50,385.500000,m.97 beat 2.500,1,0.125,0.445833333,0.320833333,0.375,medium,,,,,,,unmatched,0.062500;0.125000;0.166667;0.187500;0.250000;0.333333;0.333333;0.375000,key-release-grid;next-voice-onset;pedal-acoustic-grid;P1.5-extended,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note
