interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
159,379.114583,381.293750,m.95 beat 4.115,m.96 beat 2.294,380.000000,381.293750,
160,381.410417,383.516667,m.96 beat 2.410,m.96 beat 4.517,381.410417,383.516667,0.116667
161,383.666667,384.733333,m.96 beat 4.667,m.97 beat 1.733,383.666667,384.733333,0.150000
162,384.960417,385.945833,m.97 beat 1.960,m.97 beat 2.946,384.960417,385.945833,0.227083
163,386.177083,386.989583,m.97 beat 3.177,m.97 beat 3.990,386.177083,386.989583,0.231250
164,387.256250,387.858333,m.97 beat 4.256,m.97 beat 4.858,387.256250,387.858333,0.266667
165,388.089583,388.514583,m.98 beat 1.090,m.98 beat 1.515,388.089583,388.514583,0.231250
166,388.743750,391.079167,m.98 beat 1.744,m.98 beat 4.079,388.743750,391.079167,0.229167
167,391.312500,393.589583,m.98 beat 4.312,m.99 beat 2.590,391.312500,393.589583,0.233333
168,393.735417,395.920833,m.99 beat 2.735,m.99 beat 4.921,393.735417,395.920833,0.145833
