interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
312,616.335938,616.927083,m.155 beat 1.336,m.155 beat 1.927,616.335938,616.927083,
313,617.226562,619.010417,m.155 beat 2.227,m.155 beat 4.010,617.226562,619.010417,0.299479
314,619.346354,620.096354,m.155 beat 4.346,m.156 beat 1.096,619.346354,620.096354,0.335938
315,620.252604,621.463542,m.156 beat 1.253,m.156 beat 2.464,620.252604,621.463542,0.156250
316,621.622396,623.010417,m.156 beat 2.622,m.156 beat 4.010,621.622396,623.010417,0.158854
317,623.088542,624.575521,m.156 beat 4.089,m.157 beat 1.576,623.088542,624.575521,0.078125
318,624.734375,625.861979,m.157 beat 1.734,m.157 beat 2.862,624.734375,625.861979,0.158854
319,625.979167,626.854167,m.157 beat 2.979,m.157 beat 3.854,625.979167,626.854167,0.117188
320,627.010417,627.942708,m.157 beat 4.010,m.157 beat 4.943,627.010417,627.942708,0.156250
321,628.059896,629.130208,m.158 beat 1.060,m.158 beat 2.130,628.059896,629.130208,0.117188
322,629.270833,630.255208,m.158 beat 2.271,m.158 beat 3.255,629.270833,630.255208,0.140625
323,630.372396,631.583333,m.158 beat 3.372,m.158 beat 4.583,630.372396,631.583333,0.117188
324,631.820312,635.466146,m.158 beat 4.820,m.159 beat 4.466,631.820312,632.000000,0.236979
