event_id,suggested_notation_decision,confidence,rationale
ChopinEtudes_op_25_10:LH:41:66.000000:2,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:41:67.250000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:41:68.250000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:42:65.500000:2,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:42:66.333333:2,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:42:66.875000:2,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:42:67.500000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:42:68.000000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:42:68.625000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:42:69.125000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:43:65.000000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:43:66.625000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:43:68.875000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:45:70.000000:4,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:46:57.250000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:46:58.625000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:46:60.875000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:46:62.000000:2,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:46:64.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:46:64.375000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:46:69.750000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:46:70.333333:4,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:47:56.875000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:47:57.500000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:47:58.125000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:47:58.875000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:47:61.125000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:47:61.750000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:47:62.333333:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:47:64.750000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:47:65.500000:1,2.0,medium,reference not among candidates; write explicit duration
