interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
39,54.682292,56.286458,m.14 beat 3.682,m.15 beat 1.286,56.000000,56.286458,
40,56.364583,58.119792,m.15 beat 1.365,m.15 beat 3.120,56.364583,58.119792,0.078125
41,58.234375,59.953125,m.15 beat 3.234,m.15 beat 4.953,58.234375,59.953125,0.114583
42,60.031250,61.713542,m.16 beat 1.031,m.16 beat 2.714,60.031250,61.713542,0.078125
43,61.789062,62.562500,m.16 beat 2.789,m.16 beat 3.562,61.789062,62.562500,0.075521
44,62.601562,63.395833,m.16 beat 3.602,m.16 beat 4.396,62.601562,63.395833,0.039063
45,63.471354,65.500000,m.16 beat 4.471,m.17 beat 2.500,63.471354,65.500000,0.075521
46,65.614583,67.291667,m.17 beat 2.615,m.17 beat 4.292,65.614583,67.291667,0.114583
47,67.372396,68.333333,m.17 beat 4.372,m.18 beat 1.333,67.372396,68.333333,0.080729
48,68.372396,69.088542,m.18 beat 1.372,m.18 beat 2.089,68.372396,69.088542,0.039062
49,69.203125,70.786458,m.18 beat 2.203,m.18 beat 3.786,69.203125,70.786458,0.114583
50,70.864583,71.656250,m.18 beat 3.865,m.18 beat 4.656,70.864583,71.656250,0.078125
51,71.695312,72.507812,m.18 beat 4.695,m.19 beat 1.508,71.695312,72.000000,0.039063
