folder,composer,title,pedal_starts,pedal_stops,pedal_changes,pedal_other,measures_with_pedal,sample_measures
Bach/Fugue/bwv_846/xml_score.musicxml,Bach,Fugue/bwv_846,0,0,0,0,0,
Bach/Fugue/bwv_848/xml_score.musicxml,Bach,Fugue/bwv_848,0,0,0,0,0,
Bach/Fugue/bwv_854/xml_score.musicxml,Bach,Fugue/bwv_854,0,0,0,0,0,
Bach/Fugue/bwv_856/xml_score.musicxml,Bach,Fugue/bwv_856,0,0,0,0,0,
Bach/Fugue/bwv_857/xml_score.musicxml,Bach,Fugue/bwv_857,0,0,0,0,0,
Bach/Fugue/bwv_858/xml_score.musicxml,Bach,Fugue/bwv_858,0,0,0,0,0,
Bach/Fugue/bwv_860/xml_score.musicxml,Bach,Fugue/bwv_860,0,0,0,0,0,
Bach/Fugue/bwv_862/xml_score.musicxml,Bach,Fugue/bwv_862,0,0,0,0,0,
Bach/Fugue/bwv_863/xml_score.musicxml,Bach,Fugue/bwv_863,0,0,0,0,0,
Bach/Fugue/bwv_864/xml_score.musicxml,Bach,Fugue/bwv_864,0,0,0,0,0,
Bach/Fugue/bwv_865/xml_score.musicxml,Bach,Fugue/bwv_865,0,0,0,0,0,
Bach/Fugue/bwv_866/xml_score.musicxml,Bach,Fugue/bwv_866,0,0,0,0,0,
Bach/Fugue/bwv_867/xml_score.musicxml,Bach,Fugue/bwv_867,0,0,0,0,0,
Bach/Fugue/bwv_868/xml_score.musicxml,Bach,Fugue/bwv_868,0,0,0,0,0,
Bach/Fugue/bwv_870/xml_score.musicxml,Bach,Fugue/bwv_870,0,0,0,0,0,
Bach/Fugue/bwv_873/xml_score.musicxml,Bach,Fugue/bwv_873,0,0,0,0,0,
Bach/Fugue/bwv_874/xml_score.musicxml,Bach,Fugue/bwv_874,0,0,0,0,0,
Bach/Fugue/bwv_875/xml_score.musicxml,Bach,Fugue/bwv_875,0,0,0,0,0,
Bach/Fugue/bwv_876/xml_score.musicxml,Bach,Fugue/bwv_876,0,0,0,0,0,
Bach/Fugue/bwv_880/xml_score.musicxml,Bach,Fugue/bwv_880,0,0,0,0,0,
Bach/Fugue/bwv_883/xml_score.musicxml,Bach,Fugue/bwv_883,0,0,0,0,0,
Bach/Fugue/bwv_884/xml_score.musicxml,Bach,Fugue/bwv_884,0,0,0,0,0,
Bach/Fugue/bwv_885/xml_score.musicxml,Bach,Fugue/bwv_885,0,0,0,0,0,
Bach/Fugue/bwv_887/xml_score.musicxml,Bach,Fugue/bwv_887,0,0,0,0,0,
Bach/Fugue/bwv_888/xml_score.musicxml,Bach,Fugue/bwv_888,0,0,0,0,0,
Bach/Fugue/bwv_889/xml_score.musicxml,Bach,Fugue/bwv_889,0,0,0,0,0,
Bach/Fugue/bwv_891/xml_score.musicxml,Bach,Fugue/bwv_891,0,0,0,0,0,
Bach/Fugue/bwv_892/xml_score.musicxml,Bach,Fugue/bwv_892,0,0,0,0,0,
Bach/Fugue/bwv_893/xml_score.musicxml,Bach,Fugue/bwv_893,0,0,0,0,0,
Bach/Italian_concerto/xml_score.musicxml,Bach,Italian_concerto,0,0,0,0,0,
Bach/Prelude/bwv_846/xml_score.musicxml,Bach,Prelude/bwv_846,0,0,0,0,0,
Bach/Prelude/bwv_848/xml_score.musicxml,Bach,Prelude/bwv_848,0,0,0,0,0,
Bach/Prelude/bwv_854/xml_score.musicxml,Bach,Prelude/bwv_854,0,0,0,0,0,
Bach/Prelude/bwv_856/xml_score.musicxml,Bach,Prelude/bwv_856,0,0,0,0,0,
Bach/Prelude/bwv_857/xml_score.musicxml,Bach,Prelude/bwv_857,0,0,0,0,0,
Bach/Prelude/bwv_858/xml_score.musicxml,Bach,Prelude/bwv_858,0,0,0,0,0,
Bach/Prelude/bwv_860/xml_score.musicxml,Bach,Prelude/bwv_860,0,0,0,0,0,
Bach/Prelude/bwv_862/xml_score.musicxml,Bach,Prelude/bwv_862,0,0,0,0,0,
Bach/Prelude/bwv_863/xml_score.musicxml,Bach,Prelude/bwv_863,0,0,0,0,0,
Bach/Prelude/bwv_864/xml_score.musicxml,Bach,Prelude/bwv_864,0,0,0,0,0,
Bach/Prelude/bwv_865/xml_score.musicxml,Bach,Prelude/bwv_865,0,0,0,0,0,
Bach/Prelude/bwv_866/xml_score.musicxml,Bach,Prelude/bwv_866,0,0,0,0,0,
Bach/Prelude/bwv_867/xml_score.musicxml,Bach,Prelude/bwv_867,0,0,0,0,0,
Bach/Prelude/bwv_868/xml_score.musicxml,Bach,Prelude/bwv_868,0,0,0,0,0,
Bach/Prelude/bwv_870/xml_score.musicxml,Bach,Prelude/bwv_870,0,0,0,0,0,
Bach/Prelude/bwv_873/xml_score.musicxml,Bach,Prelude/bwv_873,0,0,0,0,0,
Bach/Prelude/bwv_874/xml_score.musicxml,Bach,Prelude/bwv_874,0,0,0,0,0,
Bach/Prelude/bwv_875/xml_score.musicxml,Bach,Prelude/bwv_875,0,0,0,0,0,
Bach/Prelude/bwv_876/xml_score.musicxml,Bach,Prelude/bwv_876,0,0,0,0,0,
Bach/Prelude/bwv_880/xml_score.musicxml,Bach,Prelude/bwv_880,0,0,0,0,0,
Bach/Prelude/bwv_883/xml_score.musicxml,Bach,Prelude/bwv_883,0,0,0,0,0,
Bach/Prelude/bwv_884/xml_score.musicxml,Bach,Prelude/bwv_884,0,0,0,0,0,
Bach/Prelude/bwv_885/xml_score.musicxml,Bach,Prelude/bwv_885,0,0,0,0,0,
Bach/Prelude/bwv_887/xml_score.musicxml,Bach,Prelude/bwv_887,0,0,0,0,0,
Bach/Prelude/bwv_888/xml_score.musicxml,Bach,Prelude/bwv_888,0,0,0,0,0,
Bach/Prelude/bwv_889/xml_score.musicxml,Bach,Prelude/bwv_889,0,0,0,0,0,
Bach/Prelude/bwv_891/xml_score.musicxml,Bach,Prelude/bwv_891,0,0,0,0,0,
Bach/Prelude/bwv_892/xml_score.musicxml,Bach,Prelude/bwv_892,0,0,0,0,0,
Bach/Prelude/bwv_893/xml_score.musicxml,Bach,Prelude/bwv_893,0,0,0,0,0,
Balakirev/Islamey/xml_score.musicxml,Balakirev,Islamey,0,0,0,0,0,
Beethoven/Piano_Sonatas/1-1/xml_score.musicxml,Beethoven,Piano_Sonatas/1-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/10-1/xml_score.musicxml,Beethoven,Piano_Sonatas/10-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/11-1/xml_score.musicxml,Beethoven,Piano_Sonatas/11-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/11-2/xml_score.musicxml,Beethoven,Piano_Sonatas/11-2,83,83,0,0,13,"1:{'start': 9, 'stop': 9}, 6:{'start': 8, 'stop': 8}, 7:{'start': 9, 'stop': 9}, 8:{'start': 9, 'stop': 9}, 13:{'start': 2, 'stop': 2}, 31:{'start': 9, 'stop': 9}, 32:{'start': 9, 'stop': 9}, 33:{'start': 9, 'stop': 9}, 39:{'start': 2, 'stop': 2}, 40:{'start': 2, 'stop': 2}"
Beethoven/Piano_Sonatas/11-3/xml_score.musicxml,Beethoven,Piano_Sonatas/11-3,0,0,0,0,0,
Beethoven/Piano_Sonatas/12-1/xml_score.musicxml,Beethoven,Piano_Sonatas/12-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/13-4/xml_score.musicxml,Beethoven,Piano_Sonatas/13-4,0,0,0,0,0,
Beethoven/Piano_Sonatas/14-3/xml_score.musicxml,Beethoven,Piano_Sonatas/14-3,19,19,0,0,20,"2:{'start': 1, 'stop': 1}, 4:{'start': 1, 'stop': 1}, 6:{'stop': 1, 'start': 1}, 7:{'start': 1, 'stop': 1}, 8:{'stop': 1, 'start': 1}, 16:{'start': 1, 'stop': 1}, 18:{'start': 1, 'stop': 1}, 66:{'start': 1, 'stop': 1}, 68:{'start': 1, 'stop': 1}, 69:{'start': 1, 'stop': 1}"
