hand,pitch,onset_ql,key_duration_ql,acoustic_duration_ql,notation_duration_ql,pedal_extended_ql,notation_minus_key_ql,notation_minus_acoustic_ql,next_hand_onset_ql,truncated_by_current_single_voice
RH,79,0.8697916666666666,0.13020833333333337,0.13020833333333337,0.125,0.0,-0.00520833333333337,-0.00520833333333337,1.25,False
RH,79,1.2135416666666665,0.125,0.125,0.125,0.0,0.0,0.0,1.625,False
RH,81,1.5677083333333333,0.41666666666666674,0.41666666666666674,0.375,0.0,-0.04166666666666674,-0.04166666666666674,2.0,False
RH,79,1.9375,0.078125,0.078125,0.125,0.0,0.046875,0.046875,2.25,False
RH,79,2.263020833333333,0.06770833333333348,0.06770833333333348,0.125,0.0,0.05729166666666652,0.05729166666666652,2.625,False
RH,81,2.6276041666666665,0.4270833333333335,0.4270833333333335,0.375,0.0,-0.05208333333333348,-0.05208333333333348,3.0,True
RH,79,2.997395833333333,0.17708333333333348,0.17708333333333348,0.125,0.0,-0.05208333333333348,-0.05208333333333348,3.25,False
RH,78,3.1875,0.2604166666666665,0.2604166666666665,0.08333333333333304,0.0,-0.17708333333333348,-0.17708333333333348,3.333333333333333,True
RH,79,3.328125,0.25,0.25,0.16666666666666696,0.0,-0.08333333333333304,-0.08333333333333304,3.5,True
RH,74,3.5260416666666665,0.22135416666666652,0.22135416666666652,0.25,0.0,0.02864583333333348,0.02864583333333348,3.75,False
RH,76,3.716145833333333,0.15885416666666696,0.15885416666666696,0.125,0.0,-0.03385416666666696,-0.03385416666666696,3.875,False
RH,72,3.8854166666666665,0.18489583333333348,0.18489583333333348,0.125,0.0,-0.05989583333333348,-0.05989583333333348,4.125,False
RH,74,4.088541666666666,0.13802083333333393,0.13802083333333393,0.125,0.0,-0.013020833333333925,-0.013020833333333925,4.25,False
RH,72,4.265625,0.15364583333333304,0.15364583333333304,0.125,0.0,-0.028645833333333037,-0.028645833333333037,4.5,False
RH,74,4.447916666666666,0.140625,0.140625,0.125,0.0,-0.015625,-0.015625,4.625,False
RH,71,4.611979166666666,0.15885416666666696,0.15885416666666696,0.125,0.0,-0.03385416666666696,-0.03385416666666696,4.75,True
RH,72,4.78125,0.109375,0.109375,0.125,0.0,0.015625,0.015625,5.0,False
RH,69,5.0,0.08854166666666607,0.08854166666666607,0.125,0.0,0.036458333333333925,0.036458333333333925,5.125,False
LH,55,5.125,0.06510416666666607,0.06510416666666607,0.125,0.0,0.059895833333333925,0.059895833333333925,5.5,False
RH,71,5.1328125,0.08333333333333304,0.08333333333333304,0.125,0.0,0.04166666666666696,0.04166666666666696,5.5,False
RH,74,5.489583333333333,0.0625,0.0625,0.125,0.0,0.0625,0.0625,5.875,False
LH,55,5.494791666666666,0.0703125,0.0703125,0.125,0.0,0.0546875,0.0546875,5.875,False
