interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
47,211.462500,212.214583,m.106 beat 2.463,m.107 beat 1.215,212.000000,212.214583,
48,212.454167,213.141667,m.107 beat 1.454,m.107 beat 2.142,212.454167,213.141667,0.239583
49,213.260417,214.122917,m.107 beat 2.260,m.108 beat 1.123,213.260417,214.122917,0.118750
50,214.300000,215.141667,m.108 beat 1.300,m.108 beat 2.142,214.300000,215.141667,0.177083
51,215.260417,216.054167,m.108 beat 2.260,m.109 beat 1.054,215.260417,216.054167,0.118750
52,216.220833,216.820833,m.109 beat 1.221,m.109 beat 1.821,216.220833,216.820833,0.166667
53,217.018750,217.820833,m.109 beat 2.019,m.109 beat 2.821,217.018750,217.820833,0.197917
54,217.939583,218.700000,m.109 beat 2.940,m.110 beat 1.700,217.939583,218.700000,0.118750
55,218.860417,219.620833,m.110 beat 1.860,m.110 beat 2.621,218.860417,219.620833,0.160417
56,219.700000,220.100000,m.110 beat 2.700,m.111 beat 1.100,219.700000,220.000000,0.079167
