interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
120,219.406250,220.120833,m.55 beat 4.406,m.56 beat 1.121,220.000000,220.120833,
121,220.197917,220.975000,m.56 beat 1.198,m.56 beat 1.975,220.197917,220.975000,0.077083
122,221.164583,222.302083,m.56 beat 2.165,m.56 beat 3.302,221.164583,222.302083,0.189583
123,222.495833,223.864583,m.56 beat 3.496,m.56 beat 4.865,222.495833,223.864583,0.193750
124,224.018750,224.677083,m.57 beat 1.019,m.57 beat 1.677,224.018750,224.677083,0.154167
125,224.831250,225.662500,m.57 beat 1.831,m.57 beat 2.662,224.831250,225.662500,0.154167
126,225.777083,226.468750,m.57 beat 2.777,m.57 beat 3.469,225.777083,226.468750,0.114583
127,226.627083,227.245833,m.57 beat 3.627,m.57 beat 4.246,226.627083,227.245833,0.158333
128,227.397917,227.958333,m.57 beat 4.398,m.57 beat 4.958,227.397917,227.958333,0.152083
129,228.112500,228.693750,m.58 beat 1.112,m.58 beat 1.694,228.112500,228.693750,0.154167
130,228.885417,229.637500,m.58 beat 1.885,m.58 beat 2.637,228.885417,229.637500,0.191667
131,229.831250,230.487500,m.58 beat 2.831,m.58 beat 3.487,229.831250,230.487500,0.193750
132,230.641667,231.375000,m.58 beat 3.642,m.58 beat 4.375,230.641667,231.375000,0.154167
133,231.589583,232.397917,m.58 beat 4.590,m.59 beat 1.398,231.589583,232.397917,0.214583
134,232.552083,233.539583,m.59 beat 1.552,m.59 beat 2.540,232.552083,233.539583,0.154167
135,233.654167,234.850000,m.59 beat 2.654,m.59 beat 3.850,233.654167,234.850000,0.114583
136,235.008333,236.956250,m.59 beat 4.008,m.60 beat 1.956,235.008333,236.000000,0.158333
