interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
148,315.898438,317.927083,m.79 beat 4.898,m.80 beat 2.927,316.000000,317.927083,
149,318.117187,320.205729,m.80 beat 3.117,m.81 beat 1.206,318.117187,320.205729,0.190104
150,320.320312,321.018229,m.81 beat 1.320,m.81 beat 2.018,320.320312,321.018229,0.114583
151,321.132812,321.864583,m.81 beat 2.133,m.81 beat 2.865,321.132812,321.864583,0.114583
152,322.057292,322.583333,m.81 beat 3.057,m.81 beat 3.583,322.057292,322.583333,0.192708
153,322.776042,324.184896,m.81 beat 3.776,m.82 beat 1.185,322.776042,324.184896,0.192708
154,324.414062,324.994792,m.82 beat 1.414,m.82 beat 1.995,324.414062,324.994792,0.229167
155,325.072917,325.651042,m.82 beat 2.073,m.82 beat 2.651,325.072917,325.651042,0.078125
156,325.807292,326.479167,m.82 beat 2.807,m.82 beat 3.479,325.807292,326.479167,0.156250
157,326.557292,327.216146,m.82 beat 3.557,m.82 beat 4.216,326.557292,327.216146,0.078125
158,327.291667,330.341146,m.82 beat 4.292,m.83 beat 3.341,327.291667,330.341146,0.075521
159,330.533854,331.117188,m.83 beat 3.534,m.83 beat 4.117,330.533854,331.117188,0.192708
160,331.192708,331.846354,m.83 beat 4.193,m.83 beat 4.846,331.192708,331.846354,0.075521
