hand,pitch,onset_ql,reason
LH,39,18.333333333333332,musicxml-no-match
LH,40,18.333333333333332,outside-or-invalid-beat-map
LH,39,19.875,musicxml-no-match
LH,40,19.875,musicxml-no-match
LH,39,20.75,musicxml-no-match
LH,40,20.75,score-midi-no-match
LH,40,21.5,musicxml-no-match
LH,46,21.5,musicxml-no-match
LH,47,21.5,musicxml-no-match
LH,40,23.0,score-midi-no-match
LH,47,23.0,score-midi-no-match
LH,46,23.125,musicxml-no-match
LH,40,23.875,musicxml-no-match
LH,47,23.875,musicxml-no-match
LH,53,24.625,musicxml-no-match
LH,54,24.666666666666664,musicxml-no-match
LH,53,26.25,musicxml-no-match
LH,54,26.25,musicxml-no-match
RH,61,26.25,musicxml-no-match
RH,60,27.75,musicxml-no-match
RH,61,27.75,musicxml-no-match
RH,69,27.75,musicxml-no-match
LH,41,28.875,score-midi-no-match
RH,62,29.333333333333332,musicxml-no-match
RH,69,29.333333333333332,musicxml-no-match
LH,42,30.5,score-midi-no-match
LH,41,31.333333333333332,score-midi-no-match
RH,69,31.333333333333332,musicxml-no-match
RH,76,31.333333333333332,musicxml-no-match
LH,42,31.375,score-midi-no-match
LH,43,31.375,score-midi-no-match
RH,62,32.25,score-midi-no-match
RH,69,32.25,score-midi-no-match
RH,69,33.0,score-midi-no-match
RH,69,33.25,musicxml-no-match
RH,76,33.25,musicxml-no-match
RH,69,34.125,musicxml-no-match
RH,76,34.125,musicxml-no-match
RH,69,34.875,musicxml-no-match
RH,76,34.875,musicxml-no-match
LH,39,46.25,musicxml-no-match
LH,40,46.25,musicxml-no-match
LH,39,47.875,musicxml-no-match
LH,40,47.875,musicxml-no-match
LH,39,48.666666666666664,musicxml-no-match
LH,40,48.666666666666664,musicxml-no-match
LH,40,49.5,musicxml-no-match
LH,46,49.5,musicxml-no-match
LH,47,49.5,musicxml-no-match
LH,40,51.0,musicxml-no-match
LH,46,51.0,musicxml-no-match
LH,47,51.0,score-midi-no-match
LH,40,51.75,musicxml-no-match
LH,47,51.75,musicxml-no-match
LH,45,52.625,score-midi-no-match
LH,53,52.625,musicxml-no-match
LH,54,52.625,musicxml-no-match
LH,53,54.125,musicxml-no-match
LH,54,54.125,musicxml-no-match
RH,61,54.125,musicxml-no-match
RH,60,55.666666666666664,musicxml-no-match
RH,61,55.666666666666664,musicxml-no-match
RH,69,55.666666666666664,musicxml-no-match
RH,61,57.25,musicxml-no-match
RH,62,57.25,musicxml-no-match
RH,69,57.25,musicxml-no-match
LH,41,57.33333333333333,score-midi-no-match
LH,41,59.33333333333333,score-midi-no-match
RH,69,59.33333333333333,musicxml-no-match
RH,76,59.33333333333333,musicxml-no-match
LH,41,60.0,score-midi-no-match
RH,70,60.875,score-midi-no-match
RH,69,61.33333333333333,musicxml-no-match
RH,71,61.33333333333333,score-midi-no-match
RH,76,61.33333333333333,musicxml-no-match
RH,64,62.0,score-midi-no-match
RH,69,62.125,musicxml-no-match
RH,76,62.125,score-midi-no-match
RH,69,62.875,musicxml-no-match
RH,76,62.875,score-midi-no-match
LH,41,79.25,score-midi-no-match
RH,77,79.75,score-midi-no-match
RH,65,79.875,score-midi-no-match
LH,36,80.5,score-midi-no-match
LH,40,81.625,score-midi-no-match
LH,53,82.66666666666666,score-midi-no-match
LH,42,83.5,score-midi-no-match
LH,51,84.25,score-midi-no-match
LH,55,85.5,score-midi-no-match
LH,54,86.0,score-midi-no-match
RH,84,86.0,score-midi-no-match
LH,51,86.125,score-midi-no-match
RH,86,86.33333333333333,score-midi-no-match
RH,77,87.125,score-midi-no-match
RH,89,87.125,score-midi-no-match
RH,86,88.0,score-midi-no-match
LH,51,91.5,score-midi-no-match
LH,46,92.0,score-midi-no-match
LH,46,92.5,score-midi-no-match
LH,42,93.5,score-midi-no-match
RH,86,93.5,score-midi-no-match
LH,39,94.5,score-midi-no-match
RH,89,95.0,score-midi-no-match
LH,36,95.25,score-midi-no-match
RH,86,97.125,score-midi-no-match
LH,53,100.875,score-midi-no-match
RH,63,102.66666666666666,musicxml-no-match
RH,64,102.75,score-midi-no-match
RH,63,103.66666666666666,musicxml-no-match
RH,64,103.75,score-midi-no-match
RH,63,105.0,musicxml-no-match
RH,64,105.0,musicxml-no-match
RH,62,105.625,score-midi-no-match
LH,59,106.75,musicxml-no-match
RH,63,106.75,musicxml-no-match
RH,64,106.75,score-midi-no-match
LH,41,110.875,score-midi-no-match
RH,81,114.0,score-midi-no-match
LH,57,117.625,musicxml-no-match
RH,61,117.625,score-midi-no-match
RH,64,117.66666666666666,score-midi-no-match
LH,58,120.5,score-midi-no-match
LH,50,124.0,score-midi-no-match
LH,45,126.0,score-midi-no-match
LH,57,127.5,musicxml-no-match
RH,64,127.5,score-midi-no-match
LH,57,129.0,score-midi-no-match
LH,51,133.75,score-midi-no-match
LH,40,135.5,musicxml-no-match
LH,45,135.5,score-midi-no-match
LH,57,136.875,musicxml-no-match
RH,64,136.875,score-midi-no-match
RH,61,138.0,musicxml-no-match
RH,64,138.125,score-midi-no-match
RH,63,139.0,musicxml-no-match
RH,64,139.125,score-midi-no-match
RH,61,140.0,musicxml-no-match
RH,64,140.125,score-midi-no-match
RH,63,141.0,musicxml-no-match
RH,64,141.0,musicxml-no-match
RH,69,141.875,musicxml-no-match
RH,64,142.0,score-midi-no-match
RH,76,142.0,musicxml-no-match
RH,74,142.66666666666666,score-midi-no-match
RH,79,142.75,score-midi-no-match
RH,81,142.75,musicxml-no-match
RH,74,143.0,score-midi-no-match
RH,76,143.0,score-midi-no-match
RH,86,143.0,score-midi-no-match
RH,88,143.0,musicxml-no-match
RH,86,143.375,score-midi-no-match
LH,39,144.875,score-midi-no-match
LH,44,144.875,score-midi-no-match
LH,40,145.875,score-midi-no-match
RH,64,145.875,score-midi-no-match
LH,55,146.5,musicxml-no-match
LH,56,146.5,musicxml-no-match
LH,59,146.875,musicxml-no-match
RH,60,146.875,musicxml-no-match
RH,62,147.25,musicxml-no-match
