segment_id,row_no,event_id,hand,pitch,onset_ql,onset_location,groups,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note,baseline_published_score_pedal,review_priority,reference_tie_start
Ravel_Miroirs_3_Une_Barque_181,1,RavelMiroirs_3_Une_Barque:LH:22:360.250000:2,LH,22,360.25,m.181 beat 1.250,H,yes,change,none,0.5,pedal-only,pedal carries sustain; keep short written note,,high,
Ravel_Miroirs_3_Une_Barque_181,13,RavelMiroirs_3_Une_Barque:LH:53:363.875000:2,LH,53,363.875,m.182 beat 2.875,F,yes,hold,none,0.083333333,,key duration 0.250 exceeds notation 0.083333333 (pedal/sustain hold); score convention kept,change,medium,0
Ravel_Miroirs_3_Une_Barque_181,14,RavelMiroirs_3_Une_Barque:LH:53:365.875000:1,LH,53,365.875,m.183 beat 2.875,F,yes,hold,none,0.083333333,,key duration 0.250 exceeds notation 0.083333333 (pedal/sustain hold); score convention kept,stop,medium,0
Ravel_Miroirs_3_Une_Barque_181,17,RavelMiroirs_3_Une_Barque:LH:58:364.000000:1,LH,58,364.0,m.183 beat 1.000,F,yes,hold,none,0.083333333,,routine; written duration follows score/readability,change,medium,0
Ravel_Miroirs_3_Une_Barque_181,18,RavelMiroirs_3_Une_Barque:LH:58:365.750000:1,LH,58,365.75,m.183 beat 2.750,F,yes,hold,none,0.083333333,,routine; written duration follows score/readability,stop,medium,0
Ravel_Miroirs_3_Une_Barque_181,19,RavelMiroirs_3_Une_Barque:LH:58:366.000000:2,LH,58,366.0,m.184 beat 1.000,F,yes,hold,none,0.083333333,,routine; written duration follows score/readability,stop,medium,0
Ravel_Miroirs_3_Une_Barque_181,20,RavelMiroirs_3_Une_Barque:RH:100:367.000000:5,RH,100,367.0,m.184 beat 2.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,29,RavelMiroirs_3_Une_Barque:RH:101:364.000000:4,RH,101,364.0,m.183 beat 1.000,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,34,RavelMiroirs_3_Une_Barque:RH:101:365.750000:4,RH,101,365.75,m.183 beat 2.750,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,35,RavelMiroirs_3_Une_Barque:RH:101:366.000000:4,RH,101,366.0,m.184 beat 1.000,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,37,RavelMiroirs_3_Une_Barque:RH:101:366.875000:2,RH,101,366.875,m.184 beat 1.875,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,38,RavelMiroirs_3_Une_Barque:RH:101:367.250000:2,RH,101,367.25,m.184 beat 2.250,F,no,hold,none,0.25,,routine; written duration follows score/readability,start,normal,
