interval_index,start_ql,end_ql,start_location,end_location,clipped_start_ql,clipped_end_ql,retake_gap_ql
60,156.088542,156.515625,m.40 beat 1.089,m.40 beat 1.516,156.088542,156.515625,
61,156.747396,157.539062,m.40 beat 1.747,m.40 beat 2.539,156.747396,157.539062,0.231771
62,159.604167,159.643229,m.40 beat 4.604,m.40 beat 4.643,159.604167,159.643229,2.065104
63,160.028646,160.414062,m.41 beat 1.029,m.41 beat 1.414,160.028646,160.414062,0.385417
64,160.609375,161.015625,m.41 beat 1.609,m.41 beat 2.016,160.609375,161.015625,0.195312
65,161.169271,161.710937,m.41 beat 2.169,m.41 beat 2.711,161.169271,161.710937,0.153646
66,161.825521,162.520833,m.41 beat 2.826,m.41 beat 3.521,161.825521,162.520833,0.114583
67,162.734375,163.005208,m.41 beat 3.734,m.41 beat 4.005,162.734375,163.005208,0.213542
68,163.197917,164.955729,m.41 beat 4.198,m.42 beat 1.956,163.197917,164.955729,0.192708
69,165.223958,165.687500,m.42 beat 2.224,m.42 beat 2.688,165.223958,165.687500,0.268229
70,166.187500,167.252604,m.42 beat 3.188,m.42 beat 4.253,166.187500,167.252604,0.500000
71,168.734375,169.354167,m.43 beat 1.734,m.43 beat 2.354,168.734375,169.354167,1.481771
72,169.627604,170.723958,m.43 beat 2.628,m.43 beat 3.724,169.627604,170.723958,0.273438
73,171.419271,173.020833,m.43 beat 4.419,m.44 beat 2.021,171.419271,172.000000,0.695312
