event_id,suggested_notation_decision,confidence,rationale
LisztMephisto_Waltz:LH:30:887.250000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:30:887.500000:1,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:31:888.000000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:32:886.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:33:887.333333:3,0.5,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:34:886.500000:1,0.625,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:35:886.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:35:897.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:36:884.375000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:36:886.500000:2,0.5,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:36:897.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:37:885.333333:3,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:37:885.500000:3,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:37:889.500000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:38:886.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:38:888.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:39:885.333333:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:40:888.625000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:41:888.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:42:886.500000:4,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:42:887.250000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:42:887.500000:4,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:42:895.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:42:896.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:44:893.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:47:897.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:48:884.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:48:897.000000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:49:885.333333:3,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:49:885.500000:1,0.5,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:49:889.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:50:886.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:50:888.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:51:885.375000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:51:899.666667:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:51:899.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:53:885.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:53:889.250000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:53:892.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:53:892.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:53:893.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:54:893.250000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:54:893.500000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:54:895.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:54:898.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:54:899.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:55:892.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:55:893.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:56:891.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:56:892.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:56:892.375000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:56:892.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:56:893.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:56:893.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:57:897.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:57:898.125000:3,0.5,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:57:899.000000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:57:899.125000:2,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:57:899.750000:4,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:886.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:889.125000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:894.125000:3,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:894.375000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:894.625000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:895.666667:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:895.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:896.250000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:58:896.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:886.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:890.500000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:890.750000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:891.333333:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:891.875000:3,0.625,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:892.666667:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:LH:59:892.875000:3,0.5,medium,reference not among candidates; write explicit duration
LisztMephisto_Waltz:LH:59:893.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:100:884.875000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:101:887.375000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:103:884.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:103:887.375000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:885.750000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:892.666667:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:894.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:897.750000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:898.125000:4,0.5,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:899.000000:4,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:60:899.750000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:893.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:894.375000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:894.750000:2,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:895.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:896.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:896.333333:4,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:61:896.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:62:886.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:62:889.000000:4,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:62:890.500000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
